Source_ID,Q1_Target_Id,Q2_Target_Id
0,"1, 16, 17","7, 18, 19"
1,"12, 16, 17","0, 6, 12"
2,"1, 12, 17","7, 18, 4"
3,"8, 5, 16, 11","18, 0, 12, 11"
4,"8, 16, 13","7, 15, 16, 11"
5,"2, 18, 19","2, 7, 8, 4, 15, 6"
6,"18, 1, 8, 5, 16","7, 8, 5, 17, 11"
7,"18, 17, 13","2, 9, 18, 1, 10, 0, 3, 8, 4, 15, 6, 5, 12, 16, 17, 13, 19, 11, 20, 14"
8,"18, 10, 19","7, 18, 16"
9,"18, 5, 16, 17","1, 8, 4, 16"
10,"18, 8, 17","8, 4, 6"
11,"18, 10, 0, 8, 19","2, 18, 8, 4, 6, 13, 14"
12,"18, 16, 17","10, 0, 13"
13,"7, 4, 17, 20","2, 9, 7, 18, 1, 10, 0, 3, 15, 6, 5, 12, 16, 17, 19, 11, 20, 14"
14,"18, 8, 16","18, 1, 16"
15,"2, 18, 12","2, 7, 18, 0, 3, 12, 19, 11, 20, 14"
16,"1, 7, 5","11, 5, 17"
17,"2, 8, 15","2, 4, 12"
18,"20, 14, 9","16, 6, 10"
19,"19, 7, 1","9, 3, 4"
20,"3, 6, 13","8, 10, 18"
