연번,행정시,해변명,백사장 면적(㎡),백사장 길이(m),화장실(동),샤워장,식수대,주차장(대),2013년 이용객(명),2014년 이용객(명),2015년 이용객(명),2016년 이용객(명)
1,제주시,이호테우,"42,250",650,2,2,2,650,451410,334100,526000,625300
2,제주시,삼양검은모래,"6,000",200,2,1,1,120,185645,140975,166880,207510
3,제주시,협재,"40,000",400,1,1,2,120,579059,218150,646500,969440
4,제주시,금능으뜸원,"30,000",300,1,1,2,100,150664,76040,136250,233000
5,제주시,곽지과물,"52,500",350,3,1,3,287,207407,120690,202000,257250
6,제주시,김녕성세기,"25,000",250,3,1,3,256,27350,43235,69800,83500
7,제주시,함덕서우봉,"234,000",900,4,2,3,800,648391,415530,643940,992200
8,서귀포시,중문?색달,"28,000",560,3,1,1,152,582800,392728,340800,391050
9,서귀포시,신양섭지코지,"97,500",650,1,1,2,40,28650,13650,15520,11610
10,서귀포시,화순금모래,"25,000",250,2,2,2,115,169400,57950,75300,79270
11,서귀포시,표선해비치,"160,000",800,2,1,2,70,284200,95542,112200,158700
12,서귀포시,하효쇠소깍,2015년 미지정,,,,,,51050,30280,,
